Company_Brand,Sector,Stage,Amount,HeadQuarter,What_it_does,year_founded,Investor
DaveAI,AI,,,Bangalore,Sales augmentation platform with a vision to democratise AI for enterprises,2020,Mumbai Angels Network
Eduvanz,FinTech,Series A,5000000.0,Mumbai,Digital finance NBFC that provides affordable education loans,2020,Sequoia India
ZipLoan,FinTech,,2000000.0,Delhi,Provides loans to MSMEs,2020,Stride Ventures
DocSumo,AI,Seed round,220000.0,Mumbai,Platform helps to automate and analyse financial data,2020,"Better Capital, TechStars, Barclays."
CUSMAT,AR/VR,,,Warangal,It builds high immersion training systems for enterprises,2020,"Venture Catalysts,  Raveen Sastry"
Chingari,Entertainment,Seed round,1300000.0,Bangalore,Short video platform,2020,"AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati"
Bolo Indya,Entertainment,Pre-Series A,300000.0,Gurgaon,User-generated content platform,2020,"Eagle10 Ventures, India Accelerator, HNIs"
Data Sutram,AI,,266500.0,Kolkata,Platform gathers intel from external data to provide location-based data intelligence.,2020,"Uday Sodhi, Mitesh Shah, Nitin Jain"
Wobot Intelligence,AI,Pre-Series A,2500000.0,Delhi,AI backed video analytics platform,2020,Sequoia Capital India
DrinkPrime,Appliance,Pre-Series A,2879000.0,Bangalore,Subscription-based Water purifier startup,2020,Sequoia Surge
Infeedo,HR tech,,700000.0,Gurgaon,An employee engagement HR analytics platform,2020,Y Combinator
Probus Smart Things,IoT,Seed round,,Delhi,Platform for monitoring distribution sub-station performance and operations,2020,Unicorn India Ventures
CrowdPouch,Tech,Angel Round,,Bangalore,A reward-based fundraising and preselling platform,2020,Elina Investments
Rebel Foods,Food tech,Series E,26500000.0,Mumbai,Cloud kitchen platform,2020,Coatue Management
Hevo,Tech,Series A,8000000.0,Bangalore,Data pipeline startup,2020,"Qualgro, Lachy Groom"
BigSpoon Foods,Food & Beverage,Pre series A,2000000.0,Ahmedabad,Cloud kitchen startup,2020,"Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah"
Chingari,Entertainment,Seed Round,1000000.0,Bangalore,Homegrown short video platform,2020,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global."
ShareChat,Entertainment,,351000.0,Bangalore,Indian social network platform,2020,"All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda"
DatStop,Hospitality,,,Delhi,It offers urban social space,2020,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak."
IPHM Services,Mental Health,Seed Round,,Mumbai,It helps design programs and workshops for the psychological well-being of individuals,2020,Indian Angel Fund
Wellcure,Healthtech,,200000.0,Gurgaon,It caters to all health and wellness needs,2020,Inflection Point Ventures
VilCart,E-commerce,Bridge Round,,Bangalore,"Retail industry in rural India through technology, supply chain, and logistics facilities.",2020,"N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash"
Firescore,Gaming,,500000.0,Mumbai,Game development studio,2020,Crazy Labs
BulBul,Social commerce,,,Gurgaon,A video and livestream led commerce platform that makes online shopping engaging,2020,Info Edge
Toppr,EdTech,Series D,46761000.0,Mumbai,It provides AI-based after school learning app for K12,2020,Foundation Holdings
Pickright Technologies,FinTech,Seed Round,175000.0,Bangalore,Marketplace for stock market investors and advisors,2020,"Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu"
Muse Wearables,Tech,,3000000.0,Chennai,It sells the world’s first payment-enabled hybrid smartwatches,2020,Dr. Bhaskar Rao Bollineni
SATYA Microcapital,FinTech,,,Delhi,Microfinance company that offers collateral-free credit to micro enterprises,2020,BlueOrchard Finance Limited
WYN Studio,Entertainment,Seed Round,,Gurgaon,It creates video content and podcasts,2020,India Angel Fund
Fourth Partner Energy,Solar Solution,,15000000.0,Bangalore,Largest startup in the distributed solar sector,2020,ResponsAbility Investments AG
Entri,EdTech,Pre series A,1700000.0,Kochi,Local language learning startup,2020,Good Capital
Snack Amor,Food & Beverage,,,Mumbai,Healthy snack startup,2020,Dr Srinivas Chunduru
MPowered,SaaS,Pre series A,21000000.0,Gurgaon,Asset Management Solutions,2020,"Ashok Nichani, Shelly Nichani"
Leap Club,Social Media,,,Gurgaon,Community led professional network for women,2020,Titan Capital
Ather Energy,Automotive,Series C,11241000.0,Bangalore,Electric scooter manufacturer,2020,Hero MotoCorp
Gigforce,HR tech,,804000.0,Bangalore,Provides staffing solutions for businesses,2020,Unitus Venture
Vegrow,Agritech,Seed Round,2500000.0,Bangalore,It is building an asset-light farm by partnering with small farms on a profit-sharing model,2020,"Matrix Partners India, Ankur Capital"
Finn,FinTech,Pre series A,,Bangalore,Neobanking startup that digitises all banking transactions,2020,"Unicorn India, PointOne Capital, Astir Ventures"
Bijnis,B2B marketplace,Series A,10000000.0,,Provides a platform for manufacturers and retailers in digital transaction,2020,"Sequoia Capital India, Matrix Partners India, InfoEdge, Waterbridge Ventures"
iNurture,EdTech,,1340000.0,Bangalore,"It provides a conducive and healthy teaching, learning environment",2020,BlackSoil Capital
StyleDotMe,Fashion,Pre series A,467000.0,Gurgaon,"mirrAR, helps jewellers sell jewellery with no physical inventory",2020,Survam Partners
Ripsey,Nutrition tech,,133000.0,Mumbai,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,2020,Ah! Ventures
ThriveFNC,Health & Wellness,Seed Round,,Pune,Focusses on reversing chronic lifestyle disorders through functional nutrition.,2020,Rajesh Ranavat
Vedantu,EdTech,Series D,100000000.0,Bangalore,Onine learning platform,2020,Coatue
Procol,Agritech,,3823000.0,Delhi,Commodity procurement platform,2020,Sequoia Surge
Yumlane,Cloud Kitchen,Pre series A,1000000.0,Mumbai,Online retailer that offers a range of on-the-go hot snacking and meals,2020,Jetty Ventures
Crio,EdTech,,934000.0,Bangalore,A learning platform for developers,2020,021 Capital
Openapp,IoT,,500000.0,Bangalore,Security solutions startup,2020,Unicorn India Ventures
PumPumPum,IoT/Automobile,,293000.0,Gurgaon,Offers leased car services,2020,LetsVenture Syndicate
uFony Services Pvt ltd,EdTech,,,Pune,"School Diary, a platform that brings education to smartphones",2020,Chennai Angels
Protinus Fashion Networking Pvt Ltd,Fashion,Pre series A,,Mumbai,Owns and operates fashion commerce and retail management platform 6Degree,2020,SucSEED Ventures
Uable,EdTech,Seed Round,,Bangalore,Online life skills development platform for children,2020,3one4 Capital
ParkSmart,IoT,,198000.0,Delhi,Parking spot reservation platform,2020,Ah! Ventures
Plum,Healthtech,Seed Round,927000.0,Bangalore,Provides health benefits to corporates,2020,Incubate Fund
IncNut Digital,E-commerce,Series A,4000000.0,Hyderabad,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,2020,RPSG Ventures
GigIndia,Tech,Pre series A,971000.0,Pune,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,2020,Incubate Fund India
Specsmaker,Eye Wear,,3060000.0,Chennai,Online optical chain for eye wears,2020,Eight Road Ventures
Piggy Ride,SaaS,Pre series A,1862000.0,Bangalore,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",2020,"JAFCO Asia, Artha Venture Fund"
Chai Waale,Beverage,,232000.0,Chennai,Tea Brand,2020,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar"
NOTO,Food,Pre seed round,,Mumbai,A brand that makes healthy icecream,2020,WEH Ventures
Cuemath,EdTech,Series B,2888000.0,Bangalore,It helps students to learn math online,2020,Trifecta Capital
Cars24,Automotive,,1328000.0,Gurgaon,Online platform for selling used cars,2020,Vivriti Capital
JetSynthesys,Digital tech,,40000000.0,Pune,Digital entertainment and technology company,2020,"Adar Poonawalla, Kris Gopalakrishnan"
Earth Energy EV,Automotive,Seed Round,,Mumbai,Electric vehicles startup,2020,LR Joshi
Green Cure,Health & Wellness,,,Delhi,It sells herbal OTC products,2020,Venture Catalysts
Blue Sky Analytics,Data Intelligence,Seed Round,1200000.0,Gurgaon,"It is building AI-powered infrastructure to analyse air quality, pollution etc",2020,"Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs"
Edhusk,EdTech,,,Jaipur,Provieds personalised learning to students by leveraging technology-driven models,2020,Mumbai Angel Network
Decentro,FinTech,Series A,15500000.0,Bangalore,Automated API-based platform that enables financial integrations.,2020,Y Combinator
Zolostays,Co-living,Series C,56000000.0,Bangalore,It offers affordable housing apartments to young professionals and students,2020,"Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital"
Frontier Markets,E-commerce,Pre series A,2250000.0,Jaipur,Women entreprenuers sells products and services to rural India,2020,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund."
Brainwired,Agritech,,,Kerala,India’s first livestock health monitoring company,2020,"Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi"
Aye Finance,FinTech,Series E,16753000.0,Gurgaon,A finance lender to SMEs,2020,Invest in Vision
Paper Boat,Food & Beverages,,3700000.0,Gurgaon,Ecommerce platform for beverages and snacks,2020,"Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures"
Ken42,EdTech,,1470000.0,Bangalore,A platform that caters to evolving needs of institutions,2020,Turbostart
Forbidden Foods,Food,Seed Round,1000000.0,Delhi,Packaged snacks company,2020,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram"
Universal Sportsbiz,Fashion,,530000.0,Bangalore,Indian fashion industry with on-trend products,2020,NB Ventures
Gobbly,Retail,Seed Round,500000.0,Gurgaon,A contactless retail store filled with fruits and veggies,2020,Sauce vc
Aerostrovilos,Automotive,,,Chennai,Manufactures micro gas turbines for power-based application,2020,Mumbai Angels Network
Mitron,Entertainment,Seed Round,267000.0,Bangalore,Short Video and Social Platform,2020,"3One4 Capital, LetsVenture"
Bulk MRO,B2B,,3344000.0,Mumbai,A full stack B2B platform for industrial supplies,2020,Stride Ventures
Inspektlabs,AI,Pre series A,600000.0,Delhi,Focuses on building computer vision products for physical asset inspections,2020,"Better Capital, Titan Capital"
Big Bang Boom Solutions,Defense tech,Series A,1000000.0,Chennai,It developed integrated intellectual properties for defense,2020,Mumbai Angels Network
Flinto,EdTech,Pre series B,7200000.0,Chennai,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,2020,Lightbox Ventures
Zetwerk,Marketplace,Series C,21000000.0,Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2020,Greenoaks
ChitMonks,FinTech,Pre series A,650000.0,Hyderabad,Offers enterprise private platform for chit fund firms,2020,Unicorn India Ventures
Walrus,FinTech,Pre-Seed,,Bangalore,It provides banking solutions for teens and young adults,2020,Better Capital
Arth Designbuild,Construction tech,,1100000.0,Hyderabad,Construction technology and solutions provider,2020,"Startup-O, Eden Ventures"
goDutch,FinTech,Seed Round,1700000.0,Mumbai,Group Payments platform,2020,"Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq"
Rusk Media,Digital Media,Seed Round,,Delhi,It creates video content,2020,"InfoEdge Venture Fund, Sprout Venture Partners"
Bold Care,Health & Wellness,Seed,,Mumbai,Digital platform that offers sexologist consultations for  men,2020,"Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand"
Samosa Party,Food,,,Bangalore,Provides quality Indian Snacks,2020,Inflection Point Ventures
High Street Essentials,E-commerce,Pre series C,2743000.0,New Delhi,The parent company of women's fashion brands FabAlley and Indya,2020,"SAIF Partners, India Quotient"
Byju's,EdTech,,,Bangalore,Provides online learning classes,2020,BOND
Slice,FinTech,Pre series B,6082000.0,Bangalore,A financial platform for youngsters,2020,Gunosy
Bombay Play,Gaming,Pre series A,1500000.0,Bangalore,It designs and creates online multiplayer games,2020,"Leo capital, Ramakant Sharma"
Fullife,Healthtech,,6609000.0,Mumbai,It sells sports nutrition supplements through a brand called Fast&Up,2020,Amansa Capital
Oziva,Nutrition,Series A,5000000.0,,Clean Label Active Nutrition Brand,2020,Matrix Partners
Aye Finance,FinTech,Series E,27700000.0,Gurgaon,A finance lender to SMEs,2020,"Capital G, Alphabet's Independent growth fund"
Aether Biomedical,Medtech,Seed,,Delhi,"Medical robotics startup, focussed on developing rehabilitation devices",2020,Chiratae Ventures
91springboard,Coworking,,5940000.0,Delhi,It offers collaborative workspace with varied amenities,2020,"Pearl Brook Holdings Ltd, Al Nour International Holdings Co."
Yulu,Micro-mobiity,,3964000.0,,The electric and scooter rental startup,2020,Rocketship
Milkbasket,Logistics,,5500000.0,Gurgaon,Hyperlocal delivery service startup,2020,Inflection Point Ventures
MergerDomo,Marketplace,,197000.0,Noida,Global online corporate deal sourcing and consulting marketplace,2020,"Nadir Godrej, Individual Investors"
GoMechanic,Auto-tech,Series B,,Delhi,Find automobile repair and maintenance service providers,2020,Pawan Munjal
Milk Mantra,Food,,10000000.0,Bhubaneswar,Produces Dairy Products,2020,US International Development Finance Corporation
Myglamm,Beauty,,4327000.0,Mumbai,On-demand beauty services provider,2020,"Tano India, L’Occitane, Bessemer"
Drishti Technologies,AI,Series B,25000000.0,Bangalore,"AI-based video analytics, data, and insights bring benefits to manufacturers",2020,Sozo Ventures
Instasolv,EdTech,Pre series A,2000000.0,Noida,It is a doubt-solving app for students from Class 6 to 12,2020,Undisclosed
GoldenPi,FinTech,,459000.0,Bangalore,An online aggregator of bonds and debentures available in the secondary market,2020,Rainmatter Capital
Peppermint,Robotics,Seed Round,,,Industrial robotics startup,2020,"Venture Catalysts, Naveen Kshatriya,"
Sarva,Yoga & wellness,,,Mumbai,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2020,Shikhar Dhawan
Jai Kisan,FinTech,Pre series A,3937000.0,Mumbai,A platform that caters the need of customers in rural areas,2020,"Arkam Ventures, Nabventures"
Agro2o,Agritech,,,New Delhi,It develops products focused on making hydroponics-based farming,2020,Mumbai Angels Network
LetsTransport,Logistics,,1313500.0,Bangalore,Offers techno logistics solutions,2020,Stride Ventures
GabbarDeals,E-commerce,,,Pune,Online-to-Offline platforms for mobile phones & accessories,2020,Venture Catalysts
Crimson Healthcare,Med Tech,,229800.0,Delhi,It innovates cutting edge solutions for various problems in the healthcare system,2020,Mumbai Angels Network
Biomoneta,Life sciences,Seed Round,,Bangalore,It develops germicidal technologies,2020,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani"
Edvizo,EdTech,Seed Round,150000.0,Bangalore,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",2020,Inflection Point Ventures
Servify,SaaS,Series C,11370000.0,Mumbai,Operates device management and support platform,2020,"Iron Pillar, Blume Ventures"
Drum Food,Food,,5305000.0,Mumbai,It runs yoghurt brand Epigamia,2020,"Danone Manifesto, Mousse Partners"
Innoviti,SaaS,Series C,,Bangalore,Digital payments solutions company,2020,"Entrepreneurial Development Bank, Bessemer Venture Partners"
Jiffy ai,AI,Series A,18000000.0,,Enterprise automation startup,2020,Nexus Venture Partners
Postman,Tech,Series C,150000000.0,,API development platform startup,2020,Insight Partners
F5,Retail,,,,It provides opportunities for its partner vendors to upsell and cross-sell their products.,2020,Venture Catalysts
Waycool,Agritech,Series C,5500000.0,Chennai,Food development and distribution services,2020,Induslnd Bank
Myelin Foundry,Deep Tech AI,,,,"It builds AI based algorithms on video, voice and sensor",2020,Pratithi
Ameliorate Biotech,Biotech,Angel Round,264000.0,Bangalore,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",2020,"PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI"
Hapramp,Blockchain,,1000000.0,Gurgaon,Startup working on technologies like blockchain and social media,2020,Anand Mahindra
MyKaam,HrTech,,,Bangalore,Online job searching and recruiting platform,2020,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg"
HealthPlix,Healthtech,Series B,6000000.0,Bangalore,It provides clinical software for doctors,2020,"JSW Ventures, Chiratae Ventures, Kalaari Capital"
YoloBus,Mobility,Series A,3300000.0,Gurgaon,Intercity bus service startup,2020,Nexus Venture Partners
iNurture Education,EdTech,,4000000.0,,"It provides a conducive and healthy teaching, learning environment",2020,Kimera Ltd
Pocket52,Gaming,Series A,1750000.0,Bangalore,An online poker playing platform,2020,Gameskraft
QuaQua,Travel,,1000000.0,Hyderabad,Virtual travel guide platform,2020,Anthill Ventures
Crofarm,Agritech,,1000000.0,Delhi,Supply chain that supports farmers and provides businesses with freshest produce,2020,Smile group
Timios,Food & Beverage,Pre series A,,Bangalore,Provides healthy snacks for kids,2020,Rangsons Technologies
Wooden Street,E-commerce,Series A,3000000.0,Jaipur,It enables to order custom furniture online,2020,IAN Fund
BankBazaar,FinTech,Series D,5967000.0,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,2020,WSV Capital
Rentmojo,Rental,,2980000.0,Bangalore,"Rental platform for furniture, appliances & electronics",2020,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment"
Credgencies,AI & Debt,Seed Round,,,Tech-enabled platform for resolution of non-performing assets,2020,Titan Capital
Knorish,SaaS/Edtech,Pre series A,323000.0,Delhi,All-in-one knowledge commerce SaaS platform,2020,100x VC
LetsTransport,Logistics,,1326000.0,Bangalore,Offers techno logistics solutions,2020,Black Soil
Vahak,Logistics,Seed Round,,,It enables logistic companies to conncet with transporters,2020,"Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran"
Nutrova,Nutrition,Pre series A,,Mumbai,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",2020,DSG Consumer Partners
Cube Wealth,SaaS,Mid series,500000.0,Mumbai,A digital wealth management services,2020,"Beenext, Asuka Holding"
IVF Access,Healthtech,Series A,5000000.0,Bangalore,It provdes IVF treatments,2020,Vertex Ventures SEA & India
Hoi Foods,Food & Beverage,Pre series A,2000000.0,Delhi,Quality food solution,2020,Crowd Fund
Ola Financial Services,FinTech,Series A,27000000.0,Bangalore,It operates Ola Money,2020,Matrix Partners
Awifs,Co-working,,5200000.0,Delhi,Provides office space solutions,2020,"Bisque Limited, Link Investment Trust."
Dunzo,Logistics,,55000000.0,Bangalore,India-based hyperlocal delivery startup,2020,Undisclosed
Swiflearn,EdTech,Seed Round,,Gurgaon,Learning platform for K-10 students looking for personalised learning,2020,"Stellaris Venture Partners, Venture Highway"
Remedo,Healthtech,Pre series A,,Delhi,The platform connects doctors with patients,2020,River Rock Ventures. Inflection Point Ventures
Blowhorn,Logistics,,,Bangalore,Tech platform that connects logistics service seekers with mini-truck drivers,2020,Trifecta Capital
Toch,AI,Pre series A,1000000.0,Mumbai,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",2020,"Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures"
Gram Cover,Insurtech,Pre series A,,Noida,It provides insurance products in rural areas,2020,"EMVC, Flourish, Omidyar Network India"
Coin DCX,Blockchain,,2500000.0,Mumbai,Hybrid crypto exchange platform,2020,Polychain Capital
HomeCapital,FinTech,,,Mumbai,Home Down Payment Assistance Program,2020,Varanium NexGen Fund
Euler Motors,Automotive tech,Series A,2530000.0,Delhi,Startup focusses on electric vehicles,2020,Inventus III India Fund
Riskcovry,Insurtech,Pre series A,,Mumbai,Offers various insurance products,2020,"Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital"
NWNT (No Worry No Tension Healthcare),Healthtech,Pre series A,,Delhi,Mental healthtech startup,2020,Amit Burman
Voicezen,AI,,,Gurgaon,Conversational AI startup,2020,Bharti Airtel
Credit Mantri,FinTech,,792000.0,Chennai,Offers free credit score and a detailed credit analysis report,2020,"IDG Ventures, Elevar Equity, Accion"
Xtracap,FinTech,,1000000.0,Gurgaon,"Offers online payment solution,schemes, order management, insurance etc.,",2020,Angel Investors
Tring,Entertainment,,,Mumbai,Celebrity engagement platform,2020,"Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh"
Vakilsearch,Legal,,,Chennai,"Online platform for legal, tax and compliance services",2020,Sujeet Kumar
Khatabook,FinTech,Series B,60000000.0,Bangalore,It helps SMEs to maintain their accounts and ledger online.,2020,B Capital Group
LendingKart,FinTech,Series D,11363000.0,Ahmedabad,Provides working capital loans and business loans to MSMEs,2020,"Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient"
Illumnus,EdTech,Seed Round,100000.0,,Offers Collaborative learning management system for educational institutions,2020,Angel investors. HNI
LetsTransport,Logistics,,1715000.0,Bangalore,Offers techno logistics solutions,2020,Innoven Capital
Eggoz,Agritech,Seed Round,329000.0,Bihar,"Provides technology backed, deep integration services to egg farmers",2020,"Tracxn Labs, Angellist, Tri-Deep Capital"
Winuall,EdTech,,,Bangalore,It helps coaching institutes in digitization,2020,"Ankit Bhati, Nitin Gupta"
Indian School Finance Company,FinTech,Seed Round,5271000.0,Hyderabad,NBFC that provides funding to education system,2020,Gray Matters Capital
DeepTek,Healthtech,,,Pune,AI enabled radiology platform,2020,GHV Accelerator
Stepathlon Lifestyle,Fitness,,,Mumbai,It organises corporate wellness programs,2020,"Josh Liberman, Mark Adams"
Sindhuja Microcredit,FinTech,,8700000.0,Noida,It provides financial services to self employed women entrepreneurs,2020,Nordic Microfinance Initiative
Rentmojo,Rental,,3226000.0,Bangalore,"Rental platform for furniture, appliances & electronics",2020,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche"
Tesco Charge Zone,EV,,,Gujarat,Operates electric vehicle charging zone,2020,Mumbai Angels Network
Intello Labs,"Supply chain, Agritech",Series A,5900000.0,Gurgaon,Standardisation and Quality control of fruits & vegetables,2020,Saama Capital
SirionLabs,SaaS,Series C,44000000.0,Gurgaon,"Provides procurement, outsourcing services & contract management software",2020,"Tiger Global, Avatar Growth Capital"
GroCurv,B2B,Seed Round,,Gurgaon,"It offers a wide range of business related services like Branding, marketing, sales etc.,",2020,Unicorn Investments Pte Ltd
Refrens,SaaS,Seed Round,1000000.0,Bangalore,"Offers a free invoicing, payments and expense management system",2020,"Vijay Shekhar Sharma, Anupam Mittal"
Shiprocket,Logistics,Series C,13000000.0,,Tech enabled logistics aggregator,2020,"Tribe Capital, Innoven Capital, BII"
Spyne,AI,Pre series A,,Gurgaon,Helps online businesses with visual content,2020,"Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal"
Nykaa,E-commerce,,8800000.0,Mumbai,Deals in cosmetic and wellness products,2020,Steadview capital
Docsapp,Healthtech,,9500000.0,Bangalore,Online doctor consultation app,2020,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC"
Phable,Healthtech,Pre series A,1000000.0,,"It creates an engagement loop between doctors, hospitals, and patients via its app",2020,Inflection Point Ventures
Generic Aadhaar,Pharma,,,,It provides a platform for entrepreneurs to access generic  medicine at low cost,2020,Ratan Tata
Nium,FinTech,,,,Open global money platform,2020,"VisaVentures, BRI Ventures"
Mintoak,FinTech,Pre series A,2000000.0,Mumbai,Merchant payment solutions startup,2020,Pravega Ventures
VestSpace,Spacetech,,10000000.0,Pune,It builds small satellite paltforms,2020,Next Capital
Blackbuck,Logistics,,,Bangalore,Provides trucking services,2020,Trifecta Venture
Vernacular ai,AI,Series A,5100000.0,Bangalore,It offers Multiligual AI platform,2020,"Exfinity Ventures, IAN Fund"
Clover,Agritech,,920000.0,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020,Alteria Capital
Varthana,FinTech,Series D,15000000.0,Bangalore,Offers secured and unsecured loans,2020,ChrysCapital
Codeninja,SaaS,Seed Round,,Bangalore,AI-powered 'no-code' platform which can generate application development code,2020,"Hari Balasubramanian, EaSyndicate"
MetaMerphoSys,Insurance,Pre series A,,Pune,Digital insurance platform for businesses,2020,Good Capital
Rooter,Gaming,Pre series A,1700000.0,Delhi,Live sports engagement platform,2020,"Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital"
Aker Foods,Food & Beverage,,,Pune,Ai driven supply chain platform,2020,Mumbai Angels Network
Sascan Meditech pvt ltd,Healthtech,,,Kerala,They are developing technology that can detect early cancerous cells,2020,Unicorn India Ventures
DailyHunt,Entertainment,,35600000.0,,News aggregator,2020,Lupa India
Pratilipi,Entertainment,Series C,9400000.0,Bangalore,A digital platform that connects readers and writers in various languages,2020,Tencent
Biryani By Kilo,Food,Series B,790000.0,Delhi,Online paltform to order biryani,2020,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi"
Consure Medical,Healthtech,,480000.0,Delhi,"Novel platform technologies to manage, diagnose, and treat various GI disorders",2020,"Accel Partners, Jungle Ventures"
Tessol,Logistics,Series A,160000.0,Mumbai,It provides end to end cold chain logistics solutions,2020,1Funds Domestic Scheme
Remedo,Healthtech,Pre series A,,Noida,"It helps doctors engage with patients, improve patient experience",2020,RiverRock Ventures
News Reach,Entertainment,,,Ahmedabad,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",2020,Mumbai Angels Network
RoomSoom,Real Estate,,,Noida,It provides co-living and student rooms,2020,Mumbai Angels Network
Pedagogy,EdTech,,400000.0,,It has a single subscription model that allows users to access books and digital courses.,2020,Inflection Point Ventures
Classplus,EdTech,Series B,8200000.0,Delhi,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",2020,RTP Global
Medlife,Pharmaceutical,,15500000.0,Bangalore,It solves inadequacies in the healthcare delivery system through technology,2020,Hero Fincorp
Qin1,EdTech,,,Noida,It is alearning platform for kids in the age group 5 to 14 yrs,2020,Venture Catalysts
MYSUN,Tech,Pre series A,4257000.0,Delhi,Platform for rooftop solar energy solutions,2020,Undisclosed
ShopX,E-commerce,,1410000.0,Bangalore,B2B retail operating system,2020,Li and Fung
Sarva,Yoga & wellness,,,,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2020,"Mantra Capital, Patni Family"
Expertrons,AI,Seed Round,,Mumbai,AI video bot platform for career hacks,2020,"Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital"
NewsBytes,Digital Media,Series A,1500000.0,Gurgaon,News portal,2020,North Base Media
NIRA,FinTech,Pre series A,2100000.0,,It offers access and credit to working Indians,2020,Angel investors
Convosight,Data Science,Pre series A,4000000.0,Hyderabad,It helps business gain insights from its community on Facebook groups,2020,"IvyCap Ventures, Sequoia Capital"
Fittr,Fitness,,2000000.0,Pune,Fitness Social Network & Consultation Platform,2020,"Sequoia Capital Surge, Better Capital"
AsknBid,Investment Tech,,,Bangalore,It builds algorithmic investing-based tech products,2020,Ravikanth Reddy & Mumbai Angel Network
Bira91,Beverage,Series C,20000000.0,Bangalore,Craft beer maker,2020,"Sequoia Capital, Sofina"
Finaureus Technologies,FinTech,Pre series A,,Pune,Provides investment management solutions,2020,Pinetree Capital
Daily Ninja,E-commerce,,349800.0,Haryana,Online Milk Delivery startup,2020,Big Basket
Guvi Geek Network Pvt Ltd,EdTech,Pre series A,786000.0,Chennai,Operates vernacular-language based education,2020,Education Catalyst Fund
LoadShare,Logistics,Series B,2004000.0,Bangalore,Provides technology based solutions to SMEs in logistics,2020,CDC Group
Vedantu,EdTech,Series C,6800000.0,Bangalore,Onine learning platform,2020,KB Global Platform Firm
Indusface,Tech,,5000000.0,,It provides IT security solutions,2020,Tata Capital Growth Fund II
DMI Group,Finance,,123000000.0,Delhi,Pan-India Credit providing platform,2020,NXC Corporation
